# Format: word_en|hint_en|word_th|hint_th|image_search_terms
Elephant|Trunk|ช้าง|งวง|elephant animal trunk
Nemo|Fish|นีโม|ปลา|nemo clownfish finding nemo
Buzz Lightyear|Toy|บัส|ของเล่น|buzz lightyear toy story
Woody|Cowboy|วู้ดดี้|คาวบอย|woody toy story cowboy
Elmo|Red|เอลโม่|แดง|elmo sesame street puppet
Cookie Monster|Blue|คุกกี้มอนสเตอร์|ฟ้า|cookie monster sesame street
Big Bird|Yellow|บิ๊กเบิร์ด|เหลือง|big bird sesame street
Kermit|Frog|เคอร์มิท|กบ|kermit the frog muppets
Miss Piggy|Pig|มิสพิกกี้|หมู|miss piggy muppets
Popeye|Spinach|ป๊อปอาย|ผักโขม|popeye sailor cartoon muscle
Tarzan|Jungle|ทาร์ซาน|ป่า|tarzan jungle disney cartoon
Zorro|Mask|หน้ากากโซโล|หน้ากาก|zorro mask sword hero
Robin Hood|Bow|โรบินฮู้ด|ธนู|robin hood archer disney
Peter Pan|Fly|ปีเตอร์แพน|บิน|peter pan flying disney
Hook|Hand|กัปตันฮุค|มือ|captain hook peter pan
Tinkerbell|Fairy|ทิงเกอร์เบลล์|นางฟ้า|tinkerbell fairy disney
Alice|Wonderland|อลิซ|มหัศจรรย์|alice in wonderland disney
Mad Hatter|Tea|แมดแฮตเตอร์|ชา|mad hatter alice wonderland
Queen of Hearts|Card|ราชินีโพแดง|ไพ่|queen of hearts alice wonderland
Snow White|Apple|สโนว์ไวท์|แอปเปิ้ล|snow white disney princess
Cinderella|Shoe|ซินเดอเรลล่า|รองเท้า|cinderella glass slipper shoe
Rapunzel|Hair|ราพันเซล|ผม|rapunzel tangled long hair
Little Mermaid|Voice|เงือกน้อย|เสียง|ariel little mermaid disney
Aladdin|Lamp|อะลาดิน|ตะเกียง|aladdin disney movie lamp
Jasmine|Tiger|จัสมิน|เสือ|jasmine princess aladdin
Mulan|China|มู่หลาน|จีน|mulan disney warrior china
Pocahontas|Wind|โพคาฮอนทัส|ลม|pocahontas disney princess
Frozen|Cold|โฟรเซ่น|หนาว|frozen movie elsa anna
Olaf|Snowman|โอลาฟ|ตุ๊กตาหิมะ|olaf snowman frozen
Moana|Ocean|โมอาน่า|ทะเล|moana disney ocean boat
Anvil|Heavy|ทั่ง|หนัก|blacksmith anvil iron heavy
Horseshoe|Luck|เกือกม้า|โชค|horseshoe metal luck
Lasso|Rope|บ่วง|เชือก|lasso rope cowboy western
Saddle|Horse|อาน|ม้า|horse saddle leather western
Barrel|Wood|ถังไม้|ไม้|wooden barrel wine keg
Crate|Box|ลัง|กล่อง|wooden crate shipping box
Wheelbarrow|Garden|รถเข็นดิน|สวน|wheelbarrow garden tool
Totem Pole|Face|เสาโทเทม|หน้า|totem pole wood carving
Tipi|Tent|กระโจม|เต็นท์|tipi tent native american
Jukebox|Music|ตู้เพลง|เพลง|jukebox vintage music machine
Slot Machine|Gamble|สล็อต|พนัน|slot machine casino jackpot
Roulette|Spin|รูเล็ต|หมุน|roulette wheel casino game
Chandelier|Glass|โคมระย้า|แก้ว|chandelier crystal light luxury
Fireplace|Wood|เตาผิง|ไม้|fireplace fire home chimney
Terrarium|Plant|สวนขวด|พืช|terrarium plants glass jar
Birdcage|Bird|กรงนก|นก|birdcage antique metal
Doghouse|Dog|บ้านหมา|หมา|doghouse wood backyard
Cat Litter|Sand|ทรายแมว|ทราย|cat litter box tray
Leash|Walk|สายจูง|เดิน|dog leash pet walking
Yarn|Cat|ไหมพรม|แมว|ball of yarn wool knitting
Pop Tart|Toast|ป๊อปทาร์ต|ปิ้ง|pop tart pastry snack
Cereal|Milk|ซีเรียล|นม|cereal bowl milk breakfast
Oatmeal|Bowl|ข้าวโอ๊ต|ชาม|oatmeal porridge bowl healthy
Pancakes|Stack|แพนเค้ก|ตั้ง|pancakes stack syrup butter
Waffles|Square|วอฟเฟิล|สี่เหลี่ยม|waffles breakfast syrup
French Toast|Egg|เฟรนช์โทสต์|ไข่|french toast breakfast syrup
Ham|Sandwich|แฮม|แซนด์วิช|ham meat glazed slice
Ribs|Bone|ซี่โครง|กระดูก|bbq ribs pork grilled
Wings|Chicken|ปีกไก่|ไก่|chicken wings buffalo spicy
Drumstick|Chicken|น่องไก่|ไก่|chicken drumstick fried
Nugget|Chicken|นักเก็ต|ไก่|chicken nuggets fast food
Hummus|Dip|ฮัมมุส|จิ้ม|hummus dip chickpea pita
Pita|Bread|พิต้า|ขนมปัง|pita bread pocket middle eastern
Gyro|Greek|ไจโร|กรีก|gyro sandwich greek food
Naan|Bread|แป้งนาน|ขนมปัง|naan bread indian food
Samosa|Triangle|ซาโมซ่า|สามเหลี่ยม|samosa indian snack fried
Bao|Bun|ซาลาเปา|แป้ง|bao bun steamed chinese
Tempura|Fried|เทมปุระ|ทอด|tempura shrimp fried japanese
Miso|Soup|มิโซะ|ซุป|miso soup bowl japanese
Soba|Buckwheat|โซบะ|บัควีท|soba noodles japanese food
Kimchi|Spicy|กิมจิ|เผ็ด|kimchi korean fermented cabbage
Bibimbap|Mix|ข้าวยำ|ผสม|bibimbap korean rice bowl
Pomegranate|Fruit|ทับทิม|ผลไม้|pomegranate fruit red seeds
Fig|Fruit|มะเดื่อ|ผลไม้|fig fruit fresh cut
Date|Fruit|อินทผลัม|ผลไม้|date fruit dried sweet
Spinach|Green|ผักโขม|เขียว|spinach leaves vegetable fresh
Asparagus|Stick|หน่อไม้ฝรั่ง|แท่ง|asparagus vegetable green
Mint|Fresh|มิ้นต์|สด|mint leaves herb fresh
Basil|Herb|โหระพา|สมุนไพร|basil leaves herb italian
Toucan|Beak|นกทูแคน|ปาก|toucan bird beak tropical
Pelican|Beak|นกกระทุง|ปาก|pelican bird beak ocean
Puffin|Bird|นกพัฟฟิน|นก|puffin bird iceland beak
Guinea Pig|Pet|หนูตะเภา|สัตว์เลี้ยง|guinea pig pet cute
Ferret|Long|เฟอร์เร็ต|ยาว|ferret animal pet long
Porcupine|Spike|เม่น|หนาม|porcupine animal quills spikes
Phoenix|Fire|ฟีนิกซ์|ไฟ|phoenix mythical bird fire
Griffin|Lion|กริฟฟิน|สิงโต|griffin mythical creature lion eagle
Yeti|Snow|เยติ|หิมะ|yeti abominable snowman monster
Bigfoot|Hair|บิ๊กฟุต|ขน|bigfoot sasquatch forest monster
Oxygen|Air|ออกซิเจน|อากาศ|oxygen molecule air breathing
Atom|Small|อะตอม|เล็ก|atom structure science physics
Molecule|Small|โมเลกุล|เล็ก|molecule chemical structure microscopic
Fossil|Bone|ฟอสซิล|กระดูก|fossil dinosaur bone rock
Gravity|Fall|แรงโน้มถ่วง|ตก|gravity apple falling newton
Eclipse|Sun|สุริยุปราคา|อาทิตย์|solar eclipse sun moon
Meteor|Rock|ดาวตก|หิน|meteor shooting star space
Supernova|Explode|ซูเปอร์โนวา|ระเบิด|supernova explosion space star
Pottery|Clay|เครื่องปั้นดินเผา|ดิน|pottery clay wheel ceramics
Knitting|Wool|ถักไหมพรม|ไหมพรม|knitting needles wool yarn
Gardening|Plant|ทำสวน|ต้นไม้|gardening tools plants soil
Ballet|Dance|บัลเลต์|เต้น|ballet dancer shoes tutu
Rickshaw|Bike|รถลาก|จักรยาน|rickshaw bike asia transport
Tuba|Big|ทูบา|ใหญ่|tuba musical instrument brass
Clarinet|Wood|คลาริเน็ต|ไม้|clarinet musical instrument woodwind
Oboe|Wood|โอโบ|ไม้|oboe musical instrument woodwind
Kimono|Japan|กิโมโน|ญี่ปุ่น|kimono japanese dress traditional
Toga|Greek|โทกะ|กรีก|toga greek costume roman
Poncho|Rain|เสื้อกันฝน|ฝน|rain poncho plastic waterproof
Sombrero|Hat|หมวกเม็กซิกัน|หมวก|sombrero hat mexican colorful
Tiara|Princess|รัดเกล้า|เจ้าหญิง|tiara crown diamond princess
